Date,claim_freq,total_claims_cost,petrol,unemployment,gold
1/7/2016,115,547170,103.7952381,5.5790904,1342
1/8/2016,125,532483,101.6565217,5.6138805,1309.25
1/9/2016,108,529683,107.1818182,5.5058107,1322.5
1/10/2016,129,830725,110.2761905,5.3407128,1272
1/11/2016,140,944042,108.8727273,5.3694441,1178.1
1/12/2016,99,589762,114.2818182,5.6184296,1145.9
1/1/2017,129,971437,119.2,6.1408691,1212.8
1/2/2017,128,647747,118.42,6.3470941,1255.6
1/3/2017,137,695740,113.673913,6.2156166,1244.85
1/4/2017,110,453979,116.49,5.6556102,1266.45
1/5/2017,142,702566,114.5347826,5.4353422,1266.2
1/6/2017,116,588437,110.95,5.4481856,1242.25
1/7/2017,120,607487,109.0190476,5.4907269,1267.55
1/8/2017,119,503813,112.9521739,5.5136092,1311.75
1/9/2017,106,810539,115.9190476,5.3161425,1283.1
1/10/2017,126,770739,116.9090909,5.1225143,1270.15
1/11/2017,153,899400,123.0772727,5.0427689,1280.2
1/12/2017,141,999545,124.047619,5.396645,1291
1/1/2018,107,350362,123.3695652,5.9613959,1345.05
1/2/2018,112,692749,123.43,6.0423014,1317.85
1/3/2018,127,779140,123.9409091,5.8601917,1323.85
1/4/2018,119,655037,128.5095238,5.5823642,1313.2
1/5/2018,134,1086372,135.6565217,5.2894759,1305.35
1/6/2018,127,751044,133.9809524,5.173573,1250.45
1/7/2018,122,596498,133.3681818,5.2009538,1220.95
1/8/2018,118,522102,135.8173913,5.2722248,1202.45
1/9/2018,90,906532,141.235,4.888139,1187.25
1/10/2018,122,1217901,143.3347826,4.7721038,1214.95
1/11/2018,123,739423,126.7727273,4.7455045,1217.55
1/12/2018,106,527047,115.1809524,4.8100316,1279
1/1/2019,90,558077,115.6608696,5.4531857,1323.25
1/2/2019,90,489474,119.33,5.3792076,1319.15
1/3/2019,147,1152047,128.1571429,5.4136591,1295.4
1/4/2019,105,567036,134.6,5.2707424,1282.3
1/5/2019,115,691840,135.1043478,5.0995433,1295.55
1/6/2019,113,857721,124.795,5.0947911,1409
1/7/2019,111,702216,129.826087,5.1704744,1427.55
1/8/2019,100,548760,129.3671291,5.2636258,1528.4
1/9/2019,94,637779,132.7190476,5.0804036,1485.3
1/10/2019,106,736242,134.7869565,5.0473019,1510.95
1/11/2019,106,845055,134.4285714,4.7891863,1460.15
1/12/2019,100,673879,134.3636364,4.8448649,1514.75
1/1/2020,102,542103,132.326087,5.6959981,1584.2
1/2/2020,104,795793,126.47,5.5086793,1609.85
1/3/2020,92,589957,107.1636364,5.5563076,1608.95
1/4/2020,60,369696,83.19090909,6.4062359,1702.75
1/5/2020,105,657704,93.5,6.9050989,1728.7
1/6/2020,96,1137229,102.0363636,7.2311432,1768.1
1/7/2020,90,611277,103.7565217,7.3846719,1964.9
1/8/2020,87,597496,103.5047619,6.8348443,1957.35
1/9/2020,76,405057,102.9045455,6.7432104,1886.9
1/10/2020,96,832588,103.5954545,6.6417076,1881.85
1/11/2020,96,555425,101.4904762,6.3508839,1762.55
1/12/2020,96,763938,106.7956522,6.2831725,1887.6
1/1/2021,72,427822,110.9571429,6.8467916,1863.8
1/2/2021,99,580749,117.165,6.2665908,1742.85
1/3/2021,93,773148,124.2086957,5.9793989,1691.05
1/4/2021,97,1060323,125.3727273,5.513884,1767.65
1/5/2021,88,735409,126.6761905,4.9813384,1899.95
1/6/2021,103,740004,130.1227273,4.8215932,1763.15