Date,claim_freq,claim_costs_total,transport_cpi,motor_cpi,parts_cpi,repair_cpi,wage_index
1/9/2016,348,1609336,97.7,94.4,106.9,107.8,124.6
1/12/2016,368,2364529,99.4,93.8,106.7,108.0,125.1
1/3/2017,394,2314924,100.9,93.5,107.7,108.1,125.6
1/6/2017,368,1744982,100.3,93.8,107.7,108.4,126.1
1/9/2017,345,1921839,100.3,93.3,109.5,108.9,127.1
1/12/2017,420,2669684,102.7,92.3,108.8,108.5,127.7
1/3/2018,346,1822251,103.8,93.6,109.5,109.8,128.2
1/6/2018,380,2492453,105.5,91.7,110.1,110.2,128.7
1/9/2018,330,2025132,106.3,91.6,109.3,110.8,130
1/12/2018,351,2484371,105.6,91.3,111.5,111.5,130.6
1/3/2019,327,2199598,103.8,93.5,112.0,112.1,131.2
1/6/2019,333,2116597,107.3,94.8,111.7,113.3,131.8
1/9/2019,305,1888755,107.0,95.0,112.0,113.6,132.9
1/12/2019,312,2255176,108.6,94.4,110.8,115.2,133.5
1/3/2020,298,1927853,106.5,93.7,113.3,115.9,134.1
1/6/2020,261,2164629,99.3,94.2,112.7,116.8,134.1
1/9/2020,253,1613830,102.7,96.6,113.6,116.6,134.7
1/12/2020,288,2151951,103.6,98.3,111.2,116.7,135.4
1/3/2021,264,1781719,106.9,99.0,113.2,117.9,136.1
1/6/2021,288,2535736,109.9,101.2,113.5,119.3,136.5